Country_Name,Country_Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Cameroon,CMR,80807414,73602991,43637725,51153285,78527123,28827904,43803713,44862703,55673717,140905969,206367187,96992202,80797018,170415573,63101792,142274717,70742490,78283065,188154482,91892957,37075061,53628533,30352643,14152081,13740921,3787396,2772697,862739,1290943,4427824,211998552,331833074,629663589,639636921,829310341,949379101,1716221497,2906771369,3086808825,3675521574,3642642678,3198717824
Cape Verde,CPV,,,,,,,32695173,42023599,39368392,42321955,42401305,37829163,42738963,45902515,40990517,55357733,56359503,80730245,81332708,74738034,76969365,65100094,75755926,57690218,42078709,36891764,27566289,19323246,8316974,42616415,28257101,45425898,79797208,93606389,139530729,173970607,254455343,364462266,361467112,397876705,382190169,338617844
Central African Republic,CAF,1388412,210642,1718484,1782990,1743214,3828947,18828691,26274566,26054770,49946026,61698157,73805740,51578535,51141007,56097888,53253229,69693548,102100335,113027568,117515572,122909414,106910593,103830263,116326747,214276442,233643038,232235423,178557488,145701794,136278091,133258425,118751468,123238811,132411282,148322512,139216013,125347018,82591573,121789663,210590012,181175441,154510980
Chad,TCD,2308558,11224223,10074961,1470532,15267030,3058691,23274480,19707112,13711260,17103544,11772879,11846237,17614008,32348539,47584283,37090020,20248610,57481190,67636545,116184025,132064064,123724750,84189960,43281879,80278306,142515644,164479419,135822561,120087612,95018454,110699275,122374630,218697141,187102879,221730348,225575220,625085078,955062335,1345469370,616701391,632405277,951097173
Chile,CHL,391661580,228797816,184721777,276042032,309258543,237806164,585119152,651475702,1404230666,2718629030,4127728306,3889888212,2597196071,2619626231,2774588563,2949890558,3052961210,3380934135,3908809901,4331116526,6783811635,7700029232,9789837750,10368846510,13801961382,14139810442,14972573051,17573233103,15869280155,14616559764,15034916272,14379002638,15341118930,15839589329,15993798040,16929245722,19391964768,16836811051,23072358550,25283487300,27816342571,41931800023
China,CHN,,,,,,,,4456360000,4449800000,8707600000,10090779282,10106340306,17151500967,19831699862,21281444020,16881048465,16417424035,22453016123,23751516912,23052563426,34475663084,48165018405,24852632500,27348105440,57781339993,75376709062,107000000000,143000000000,149000000000,158000000000,168000000000,216000000000,291000000000,408000000000,615000000000,822000000000,1070000000000,1530000000000,1950000000000,2420000000000,2870000000000,3200000000000
Colombia,COL,207221820,205495964,336885453,564310855,511097543,632587477,1291230263,2032781136,2809626762,5030067728,6473763418,6078499637,5605397236,3511997682,1785514715,2197344984,3481140949,3416294851,3699868639,3862356780,4868520452,6838511906,7907619250,8048472823,8102672937,8348715444,9844970787,9802634471,8651061414,8007901770,8915988954,10153666268,10732387083,10783866072,13393797264,14787010894,15296232527,20767268393,23478813583,24747664433,27766239010,31386034359
Comoros,COM,,,,,,,,,,,6372623,8391640,10831267,11014961,3685178,11934097,17769156,30950319,23775257,31002075,29914189,29376988,27281153,39023657,44412094,44484845,50549612,40480698,39142489,37147451,43211814,62319592,79936892,94298524,103738307,85798093,93522501,117160326,112160322,150269702,145262062,155178148
"Congo, Dem. Rep.",ZAR,189252250,153653096,217548447,337127203,212045971,84371374,85310593,176753441,195357248,335712080,379781000,293853319,226201062,269424542,281037800,335223700,451170300,417014293,371552500,281700958,260650000,193104400,166061000,54794300,131421000,146600000,82500000,82500000,82500000,82500000,82500000,82500000,73858377,97757335,236242019,131200262,154503797,180677441,77733372,1035381183,1299650366,1267501775
"Congo, Rep.",COG,8884792,10820098,10337995,7858054,24101168,13814494,12168218,14453691,11350143,48069337,92619326,127900273,42223150,11709236,7535941,7593098,11157512,8771598,9257977,10552475,10192498,8694635,7714243,5684243,54626029,59302388,90994492,59920710,841193,39354178,222005808,68914112,31634407,34798834,119598282,731829799,1840932419,2174293052,3871781213,3806250347,4446850231,5641136491
